sector,price,built_up_area,latitude,longitude
dwarka expressway,1.3725,1606.0,28.4387782,76.9602618
gwal pahari,3.192222222222222,3056.1666666666665,28.4326344,77.1480585
manesar,0.962258064516129,2027.367741935484,28.3247096,76.9263787
sector 1,1.86,2327.8333333333335,28.518781400000005,77.0418623
sector 10,1.94375,1806.0,28.4445813,77.0060231
sector 102,1.6813274336283186,1545.486725663717,28.4754872,76.9711747
sector 103,1.4415555555555557,1804.5333333333333,28.493087,76.9866453
sector 104,1.5766197183098591,1771.9154929577464,28.4795324,76.9937197
sector 105,1.198,1118.1255,28.494313299999998,77.0081378
sector 106,1.548421052631579,1506.0526315789473,28.5060806,76.9967796
sector 107,0.7761016949152543,1102.7966101694915,28.506941,76.9752137
sector 108,1.9967241379310345,1908.670400551724,28.5128994,76.9823615
sector 109,3.939431818181818,2920.0227272727275,28.5109205,77.0065956
sector 11,1.4533333333333334,1253.8,28.3781429,76.8753775
sector 110,2.5695833333333336,2249.75,28.5069625,77.018321
sector 111,2.9,2346.6363636363635,28.5222773,77.0336203
sector 112,4.56,3329.51375,28.520340200000003,77.0188612
sector 113,2.465813953488372,2057.860465116279,28.5286649,77.0250282
sector 12,1.6215151515151514,1794.4848484848485,28.3924111,76.8985144
sector 13,1.5939999999999999,1657.8,28.4745997,77.036719
sector 14,4.226818181818182,2662.5454545454545,28.473784,77.0471827
sector 15,2.716666666666667,1854.8333333333333,28.384319899999998,76.9122326
sector 17,4.694,2488.7,28.4758035,77.0607773
sector 2,2.4279032258064515,1815.2903225806451,28.5090499,77.0342831
sector 21,1.0250000000000001,1252.3333333333333,28.5143629,77.0730087
sector 22,3.429,2072.8,28.506318,77.0655182
sector 23,3.3430769230769233,2385.6923076923076,28.510319,77.0530094
sector 24,5.434210526315789,2680.7368421052633,28.4944811,77.1013038
sector 25,8.52054054054054,3373.527027027027,28.4860888,77.084224
sector 26,12.304761904761904,4233.5952380952385,28.4779375,77.1032425
sector 27,6.125,2196.0,28.4646566,77.0839505
sector 28,4.200731707317073,2036.439024390244,28.4741302,77.0825722
sector 3,0.9712500000000001,1182.3333333333333,28.497390500000005,77.020526
sector 30,1.568,1339.6,28.4618719,77.05688
sector 31,3.9399999999999995,1543.909090909091,28.4540044,77.0497179
sector 33,2.67056338028169,1853.7242253521129,28.4384785,77.0251655
sector 36,1.0912499999999998,992.9166666666666,28.419334000000003,76.9889256
sector 37,0.9642592592592593,1483.0203703703705,28.4342681,76.999294
sector 37d,1.2495588235294117,1536.9264705882354,28.4480039,76.9697682
sector 38,3.433333333333333,1937.7777777777778,28.4351423,77.0403538
sector 39,3.1672727272727275,2217.3636363636365,28.4423675,77.0504724
sector 4,1.162391304347826,1298.6739130434783,28.475006299999997,77.0103535
sector 40,3.15,1366.8,28.4500427,77.0577093
sector 41,5.9944444444444445,2618.8888888888887,28.4569188,77.0646046
sector 43,5.825762711864407,2503.0169491525426,28.4548735,77.0858864
sector 45,8.49875,3093.0,28.4449004,77.0663545
sector 46,3.7954545454545454,1516.909090909091,28.435913299999996,77.0584045
sector 47,2.838235294117647,1906.7058823529412,28.4251572,77.0475128
sector 48,6.048035714285715,3167.2321428571427,28.4104903,77.03946269999999
sector 49,3.072666666666667,2142.1582222222223,28.4128851,77.0498362
sector 5,1.0395454545454546,1190.2272727272727,28.480392399999996,77.0190946
sector 50,6.74063492063492,3065.2063492063494,28.4166536,77.0611745
sector 51,1.5585714285714285,1674.142857142857,28.4287011,77.0666877
sector 52,2.7142857142857144,2411.285714285714,28.436816600000004,77.0795276
sector 53,5.782857142857142,2687.714285714286,28.4415191,77.096805
sector 54,6.289655172413793,2346.344827586207,28.4416111,77.1118718
sector 55,2.998181818181818,1623.8181818181818,28.4274166,77.1097538
sector 56,1.9537735849056603,1776.0,28.425323199999998,77.0985157
sector 57,4.67304347826087,2339.217391304348,28.4232478,77.0804487
sector 58,3.2971428571428567,1959.142857142857,28.4160012,77.1085564
sector 59,4.875,2799.0,28.4030162,77.1066682
sector 6,0.6927272727272727,675.6363636363636,28.475325899999998,77.0258279
sector 60,3.987333333333333,2413.866666666667,28.3985617,77.0978276
sector 61,2.095952380952381,1493.4761904761904,28.411018800000004,77.0963685
sector 62,5.45,2795.235294117647,28.407697,77.0823781
sector 63,4.552666666666667,2716.266666666667,28.3964476,77.08649799999999
sector 63a,2.6666666666666665,1623.2777777777778,28.4613898,76.9712708
sector 65,3.327777777777778,2082.7,28.403016200000003,77.0695893
sector 66,5.9347619047619045,2662.2261904761904,28.3974292,77.0538823
sector 67,3.1300000000000003,2056.5416666666665,28.3864052,77.0598046
sector 67a,1.4222727272727271,1370.590909090909,28.5069625,77.018321
sector 68,1.2476666666666667,1340.0666666666666,28.388897,77.0459859
sector 69,1.5596808510638296,1574.627659574468,28.3960701,77.0372311
sector 7,1.716764705882353,1233.5588235294117,28.4662572,77.0142654
sector 70,1.8173584905660378,1783.433962264151,28.394726099999996,77.0223138
sector 70a,2.1998148148148147,1951.1851851851852,28.384668399999995,77.0220391
sector 71,0.9485185185185185,1223.4814814814815,28.4064564,77.0233125
sector 72,4.163448275862069,3101.9310344827586,28.4159257,77.0290772
sector 73,6.3,4022.0,28.4088081,77.0161691
sector 74,1.7722222222222224,1490.0,28.4112763,77.010669
sector 76,1.682,1793.7333333333333,28.3910112,76.9900243
sector 77,1.3113793103448277,1553.0,28.3832337,76.982557
sector 78,1.16,1690.2222222222222,28.3725283,76.9702955
sector 79,1.377125,1534.2625,28.506962499999997,77.018321
sector 8,0.7457142857142857,641.4285714285714,28.4598966,77.0198043
sector 80,1.27,1632.8,28.3702173,76.9611159
sector 81,1.9303333333333332,1860.4444444444443,28.3873647,76.9475835
sector 82,2.079285714285714,1951.642857142857,28.3931076,76.9588762
sector 82a,2.3645,2386.25,28.3858766,76.9639317
sector 83,1.2543478260869565,1524.1159420289855,28.3981087,76.9732873
sector 84,0.9754901960784313,1425.7450980392157,28.4082289,76.9630245
sector 85,1.4907339449541286,1808.5412844036698,28.403652000000005,76.9531428
sector 86,1.2024615384615385,1531.6461538461538,28.3981205,76.9411257
sector 88,0.9800000000000001,1333.3333333333333,28.4219647,76.9568078
sector 88a,1.3843478260869566,1433.2173913043478,28.4337898,76.9539433
sector 89,1.11703125,1327.953125,28.4184455,76.9457567
sector 9,1.4722727272727274,1576.1818181818182,28.3840986,76.8861337
sector 90,1.1807692307692308,1717.043956043956,28.406997399999998,76.9365562
sector 91,1.648235294117647,2028.6470588235295,28.4007588,76.9210802
sector 92,0.9305714285714285,1574.8017142857143,28.4089049,76.9155232
sector 93,0.8081818181818182,941.2727272727273,28.415604799999997,76.931638
sector 95,0.4866101694915254,1011.6949152542373,28.4149443,76.9114892
sector 99,1.1095833333333334,1463.25,28.4645549,76.9628585
sohna road,0.6838372093023256,959.6425344011628,28.3946559,77.0466431
